var1,var2
175.360000,1.371068
175.370000,1.344394
175.380000,1.155395
175.390000,0.763855
175.400000,0.265489
175.410000,0.130528
175.420000,0.324262
175.430000,0.354569
175.440000,0.234621
175.450000,0.083554
175.460000,0.554320
175.470000,0.980085
175.480000,1.212781
175.490000,1.266404
175.500000,1.175238
175.510000,0.898113
175.520000,0.436923
175.530000,0.041583
175.540000,0.351517
175.550000,0.468031
175.560000,0.437678
175.570000,0.237076
175.580000,0.163412
175.590000,0.641521
175.600000,0.990658
175.610000,1.137861
175.620000,1.128761
175.630000,0.963615
175.640000,0.596620
175.650000,0.099693
175.660000,0.320794
175.670000,0.541566
175.680000,0.591753
175.690000,0.495184
175.700000,0.205435
175.710000,0.253566
175.720000,0.696563
175.730000,0.956007
175.740000,1.029209
175.750000,0.957605
175.760000,0.707283
175.770000,0.263576
175.780000,0.226362
175.790000,0.564489
175.800000,0.704171
175.810000,0.693372
175.820000,0.519410
175.830000,0.143080
175.840000,0.336736
175.850000,0.710850
175.860000,0.882499
175.870000,0.891571
175.880000,0.749750
175.890000,0.409100
175.900000,0.081723
175.910000,0.523797
175.920000,0.771836
175.930000,0.841838
175.940000,0.766965
175.950000,0.505255
175.960000,0.061024
175.970000,0.396581
175.980000,0.683594
175.990000,0.777931
176.000000,0.725732
176.010000,0.502272
176.020000,0.079456
176.030000,0.417410
176.040000,0.782434
176.050000,0.945806
176.060000,0.953658
176.070000,0.804705
176.080000,0.453685
176.090000,0.024326
176.100000,0.422311
176.110000,0.620052
176.120000,0.648178
176.130000,0.529163
176.140000,0.216203
176.150000,0.263987
176.160000,0.724271
176.170000,0.999536
176.180000,1.089481
176.190000,1.034721
176.200000,0.800250
176.210000,0.373433
176.220000,0.095816
176.230000,0.410839
176.240000,0.528006
176.250000,0.495274
176.260000,0.298485
176.270000,0.100491
176.280000,0.599609
176.290000,0.989750
176.300000,1.177322
176.310000,1.203179
176.320000,1.077505
176.330000,0.752451
176.340000,0.279712
176.350000,0.140536
176.360000,0.365840
176.370000,0.414137
176.380000,0.317447
176.390000,0.033058
176.400000,0.432238
176.410000,0.906948
176.420000,1.209091
176.430000,1.319307
176.440000,1.283264
176.450000,1.074917
176.460000,0.667770
176.470000,0.190138
176.480000,0.152870
176.490000,0.294593
176.500000,0.281602
176.510000,0.111077
176.520000,0.261636
176.530000,0.758292
176.540000,1.171308
176.550000,1.383541
176.560000,1.427054
176.570000,1.322941
176.580000,1.024064
176.590000,0.559963
176.600000,0.119576
176.610000,0.134474
176.620000,0.204231
176.630000,0.129445
176.640000,0.125942
176.650000,0.572474
176.660000,1.057515
176.670000,1.385863
176.680000,1.516861
176.690000,1.498403
176.700000,1.314859
176.710000,0.929236
176.720000,0.446729
176.730000,0.076300
176.740000,0.091639
176.750000,0.098850
176.760000,0.045993
176.770000,0.390587
176.780000,0.880172
176.790000,1.313396
176.800000,1.550668
176.810000,1.611808
176.820000,1.527654
176.830000,1.254790
176.840000,0.802524
176.850000,0.344636
176.860000,0.061051
176.870000,0.031555
176.880000,0.021668
176.890000,0.248054
176.900000,0.672439
176.910000,1.163520
176.920000,1.517053
176.930000,1.669506
176.940000,1.667830
176.950000,1.507666
176.960000,1.145027
176.970000,0.661330
176.980000,0.264637
176.990000,0.068994
177.000000,0.040959
177.010000,0.160842
177.020000,0.476051
177.030000,0.954192
177.040000,1.404584
177.050000,1.667145
177.060000,1.746211
177.070000,1.680625
177.080000,1.433307
177.090000,0.995858
177.100000,0.523586
177.110000,0.210162
177.120000,0.093294
177.130000,0.125208
177.140000,0.322982
177.150000,0.722413
177.160000,1.215161
177.170000,1.592506
177.180000,1.767212
177.190000,1.781886
177.200000,1.643681
177.210000,1.305107
177.220000,0.824009
177.230000,0.402830
177.240000,0.178265
177.250000,0.128664
177.260000,0.224401
177.270000,0.509546
177.280000,0.972229
177.290000,1.436439
177.300000,1.724366
177.310000,1.821977
177.320000,1.773853
177.330000,1.551393
